ISIN,NAME,NAME_XETRA
DE000A1EWWW0,Adidas AG,ADIDAS AG NA O.N.
NL0000235190,Airbus SE,
DE0008404005,Allianz SE,ALLIANZ SE NA O.N.
DE000BASF111,BASF SE,BASF SE NA O.N.
DE000BAY0017,Bayer AG,BAYER AG NA O.N.
DE0005200000,Beiersdorf AG,BEIERSDORF AG O.N.
DE0005190003,BMW AG,BAY.MOTOREN WERKE AG ST
DE000A1DAHH0,Brenntag SE,BRENNTAG SE NA O.N.
DE000CBK1001,Commerzbank AG,COMMERZBANK AG
DE0005439004,Continental AG,CONTINENTAL AG O.N.
DE0006062144,Covestro AG,COVESTRO AG  O.N.
DE000DTR0CK8,Daimler Truck Holding AG,DAIMLER TRUCK HLDG NA ON
DE0005140008,Deutsche Bank AG,DEUTSCHE BANK AG NA O.N.
DE0005810055,Deutsche Börse AG,DEUTSCHE BOERSE NA O.N.
DE0005552004,Deutsche Post AG,DEUTSCHE POST AG NA O.N.
DE0005557508,Deutsche Telekom AG,DT.TELEKOM AG NA
DE000ENAG999,E.ON SE,E.ON SE NA O.N.
DE0005785604,Fresenius SE & Co. KGaA,FRESENIUS SE+CO.KGAA O.N.
DE0008402215,Hannover Rueck SE,HANNOVER RUECK SE NA O.N.
DE0006047004,HeidelbergCement AG,HEIDELBERGCEMENT AG O.N.
DE0006048432,Henkel AG & Co. KGaA,HENKEL AG+CO.KGAA VZO
DE0006231004,Infineon Technologies AG,INFINEON TECH.AG NA O.N.
DE0007100000,Mercedes-Benz Group AG,MERCEDES-BENZ GRP NA O.N.
DE0006599905,Merck KGaA,MERCK KGAA O.N.
DE000A0D9PT0,MTU Aero Engines AG,MTU AERO ENGINES NA O.N.
DE0008430026,Muenchener Rueckversicherungs-Gesellschaft AG,MUENCH.RUECKVERS.VNA O.N.
DE000PAG9113,Dr. Ing. h.c. F. Porsche AG,DR.ING.H.C.F.PORSCHE VZOI
DE000PAH0038,Porsche Automobil Holding SE,PORSCHE AUTOM.HLDG VZO
NL0012169213,Qiagen N.V.,
DE0007030009,Rheinmetall AG,RHEINMETALL AG
DE0007037129,RWE AG,RWE AG   INH O.N.
DE0007164600,SAP SE,SAP SE O.N.
DE0007165631,Sartorius AG,SARTORIUS AG VZO O.N.
DE0007236101,Siemens AG,SIEMENS AG  NA O.N.
DE000ENER6Y0,Siemens Energy AG,SIEMENS ENERGY AG NA O.N.
DE000SHL1006,Siemens Healthineers AG,SIEMENS HEALTH.AG NA O.N.
DE000SYM9999,Symrise AG,SYMRISE AG INH. O.N.
DE0007664039,Volkswagen AG,VOLKSWAGEN AG VZO O.N.
DE000A1ML7J1,Vonovia SE,VONOVIA SE NA O.N.
DE000ZAL1111,Zalando SE,ZALANDO SE
